2026-09-14 10:06:25,764 | INFO | Generating 200 labelled sensor records
2026-09-14 10:06:26,216 | INFO | Saved 200 records to /home/workdir/artifacts/iot_environment_monitor/data/sensor_data.csv
2026-09-14 10:06:26,219 | INFO | Reloaded 200 records from /home/workdir/artifacts/iot_environment_monitor/data/sensor_data.csv
2026-09-14 10:06:26,225 | WARNING | [WARNING] Temperature 30.6°C at 2026-09-13 18:46:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,225 | WARNING | [WARNING] Temperature 30.5°C at 2026-09-13 18:51:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,225 | WARNING | [WARNING] Temperature 30.8°C at 2026-09-13 18:56:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,225 | WARNING | [WARNING] Temperature 30.9°C at 2026-09-13 19:01:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 30.5°C at 2026-09-13 19:06:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 30.8°C at 2026-09-13 19:11:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 31.0°C at 2026-09-13 19:16:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 31.0°C at 2026-09-13 19:21:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 30.4°C at 2026-09-13 19:26:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 31.2°C at 2026-09-13 19:31:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 31.0°C at 2026-09-13 19:36:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,226 | WARNING | [WARNING] Temperature 30.1°C at 2026-09-13 19:41:25 is above the safe band. Check cooling.
2026-09-14 10:06:26,227 | WARNING | [CRITICAL] Temperature 36.7°C at 2026-09-13 20:26:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,227 | WARNING | [CRITICAL] Temperature 36.6°C at 2026-09-13 20:31:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,227 | WARNING | [CRITICAL] Temperature 36.6°C at 2026-09-13 20:36:25 exceeds the critical limit. Immediate action required.
2026-09-14 10:06:26,227 | WARNING | [CRITICAL] Temperature 40.0°C at 2026-09-13 20:41:25 exceeds the critical limit. Immediate action required.
